scorer,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
82,1283.7991,588.002,0.54363924,1132.8068,540.4946,0.80539685,973.3357,416.50378,0.6228991,889.8873,274.59982,1.0,858.4158,47.49984,0.5771769
83,1280.2397,592.25433,0.5665858,1129.7312,543.27673,0.7918177,972.38025,416.56265,0.5883331,889.0709,274.00702,0.94218266,857.5739,47.670612,0.5999081
84,1267.1519,615.2584,0.80894405,1117.9751,556.3656,0.78150725,970.44293,420.07324,0.6967819,890.01465,274.82095,1.0,859.25275,49.348404,0.5632267
85,1244.9072,638.94116,0.820087,1100.3682,572.2253,0.81864417,962.73956,426.87296,0.68783724,889.4437,279.2668,1.0,858.49976,52.969692,0.53795356
86,1218.7555,666.1632,0.87022316,1078.3098,588.05334,0.694924,953.4479,431.35266,0.66359603,885.03656,281.8378,0.908034,854.36346,56.21602,0.5520131
87,1188.556,690.73584,0.9270466,1054.3163,601.2249,0.6925821,943.49884,436.04587,0.6112277,882.43756,283.2683,1.0,851.72266,58.08764,0.42539293
88,1153.4857,716.6763,0.91080165,1027.833,614.3768,0.7493502,933.6136,439.44522,0.6815844,880.2238,284.72937,0.97650075,851.8507,59.962185,0.4109127
89,1115.3644,734.7305,0.9159406,1002.6548,622.8945,0.79424554,924.3285,442.09152,0.65984493,878.7039,286.37848,1.0,850.85077,61.10289,0.41132385
90,1074.8932,757.2531,0.9323524,972.08405,631.0597,0.77466017,912.7487,443.1759,0.6753886,877.37195,287.79443,1.0,850.33716,62.353275,0.45496532
91,1031.0997,769.24664,0.86697465,940.86774,637.17114,0.78999096,900.9522,445.65396,0.73842895,875.0342,290.22443,0.97492445,849.22296,64.094826,0.47672898
92,987.8178,778.8978,0.8524539,911.6835,639.6616,0.7963042,890.88257,445.7023,0.5821969,873.05597,292.3426,0.99013174,848.6439,65.82853,0.48055232
93,944.0765,788.8396,0.8856168,881.14923,640.12573,0.7460956,877.6022,446.84512,0.6276323,870.94415,294.60587,0.9512285,847.36884,67.777,0.471204
94,896.3499,791.5333,0.8460193,849.264,637.99414,0.7276637,865.0993,445.75488,0.5739208,868.3328,296.58286,1.0,845.7614,69.54896,0.4609
95,845.7978,790.08655,0.7943004,817.0167,633.16046,0.7583513,851.7222,443.01752,0.6040093,864.7478,297.25992,1.0,844.822,70.39392,0.48319536
96,794.1231,783.5341,0.8661187,782.4186,623.6144,0.7599968,836.93634,440.03384,0.55869126,861.59265,298.1524,1.0,842.62427,71.65375,0.47751814
97,741.3173,773.02637,0.86208355,748.9645,612.46265,0.77738845,821.69586,435.02463,0.5446809,858.1816,298.45987,1.0,840.4446,71.557495,0.46293837
98,687.0957,750.11084,0.7534506,715.0868,594.6919,0.81265885,805.55756,427.11386,0.67841357,855.0163,299.13165,1.0,838.4302,72.23456,0.4981271
99,640.5874,731.0739,0.73505336,684.5802,578.055,0.7477886,792.9444,420.64893,0.5823092,849.1676,299.3652,1.0,834.6571,73.19054,0.38067174
100,602.75214,707.7846,0.6510562,658.6211,562.2579,0.7277189,778.4682,412.89688,0.5768423,843.23474,300.0894,1.0,831.2208,74.376465,0.3489264
101,576.22614,690.23456,0.7054546,641.9135,549.1756,0.6923309,769.6186,407.79166,0.5320864,839.65,300.2569,0.98962,827.4234,75.854836,0.41411477
102,560.3016,678.7126,0.6540951,632.03754,539.9004,0.6227793,765.29095,406.73328,0.63155454,837.4936,300.75342,1.0,826.1552,76.61451,0.49113986
103,557.8144,676.1285,0.67144585,630.9997,538.9521,0.59063244,764.9293,406.58954,0.6268399,837.009,301.21075,1.0,825.66736,76.7403,0.5310612
104,559.78046,682.406,0.67837846,631.19244,543.6607,0.6684071,763.5174,407.18362,0.6115847,832.1606,300.23502,1.0,822.8221,75.738464,0.47083303
105,595.1102,710.73,0.6404224,651.167,560.6167,0.6350839,768.2217,412.51724,0.49738753,829.3773,299.03107,0.97251433,818.88574,73.90517,0.3779999
106,658.3689,741.8896,0.7134654,691.667,584.2562,0.75249225,788.5167,423.04684,0.42914355,838.89557,297.25458,0.9287852,825.2243,72.01009,0.4494084
107,723.6325,764.07855,0.7702746,735.8424,604.4927,0.7257637,812.1963,430.41205,0.4813995,849.1062,296.91977,1.0,834.561,71.01245,0.5575869
108,785.0119,779.3242,0.88576424,780.2543,619.29297,0.6628752,836.53064,437.45572,0.6550398,861.7982,297.81146,1.0,843.1691,72.46024,0.4651528
109,837.6291,790.8198,0.9539351,816.2828,630.45166,0.8373752,852.8331,442.7692,0.7222773,868.0357,297.58267,0.9526618,847.88446,71.136955,0.4111249
110,890.8193,791.7764,0.74411285,852.1111,636.3435,0.758588,869.2049,445.47223,0.6849923,871.8503,297.01923,0.96277285,849.31287,70.66762,0.4675858
111,947.4376,790.99365,1.0,890.47473,638.96454,0.8632681,884.9344,446.57962,0.7178501,877.2865,295.90012,1.0,852.72577,69.58003,0.5966958
112,1001.91327,779.04034,0.92838967,928.21594,637.6684,0.8963061,902.5778,445.96667,0.76684946,884.18066,293.33255,1.0,856.61896,67.77273,0.54899025
113,1051.9465,768.85236,0.8330537,963.998,633.37994,0.7600437,919.8526,445.0151,0.7531472,891.7251,290.45456,1.0,862.7666,65.79684,0.4008369
