scorer,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radius_styloid_process,radius_styloid_process,radius_styloid_process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
65,1497.2821,804.8624,0.71762,1189.2628,808.1338,0.8358398,1101.3182,800.91815,0.8940201,761.234,734.03595,0.9054586,560.99207,710.0557,0.9254795
66,1520.2179,816.3257,0.80672103,1190.2406,809.22314,0.863086,1101.5726,801.7326,0.90126675,761.2077,734.65295,0.89003634,560.8221,710.46967,0.946235
67,1550.3035,833.0517,0.90554875,1190.399,809.97205,0.8725275,1102.2052,802.92365,0.8976883,760.55774,736.3797,0.8946701,560.405,710.8986,0.9369263
68,1564.2258,845.6881,0.91562927,1192.588,810.08496,0.85027295,1103.6293,803.61017,0.89525694,762.065,736.31854,0.93862516,561.6826,710.44604,0.89276093
69,1557.5466,851.6399,0.878467,1190.8926,810.0521,0.8239784,1102.7506,802.51196,0.8935119,761.9788,735.1345,0.8970878,562.29626,709.6385,0.911245
70,1538.8633,852.49866,0.77983737,1190.9314,808.2916,0.81198025,1101.3248,800.6204,0.8784643,761.9442,732.7136,0.9068922,562.3139,707.52814,0.91375405
71,1516.4993,854.78345,0.8298613,1190.7542,808.5728,0.8608878,1101.3287,800.6875,0.8933645,762.02576,732.73047,0.9096329,562.67084,707.44806,0.9133375
72,1496.3276,852.6905,0.8735462,1189.9268,807.0416,0.83308417,1099.4536,798.99817,0.8564535,761.0305,730.96783,0.9395839,561.5739,706.6756,0.8925038
73,1490.0615,851.4378,0.9385457,1189.236,805.44415,0.8434824,1098.7831,796.2071,0.7927134,760.0708,729.3956,0.95510274,560.77435,704.8641,0.87104297
74,1494.4454,850.9452,0.95175344,1186.9767,804.42377,0.8137665,1096.364,796.1265,0.79478836,758.5414,729.19867,0.9726356,560.65826,705.3148,0.89029706
75,1505.978,850.3816,0.90255,1182.0645,805.8698,0.7984666,1092.7719,797.2648,0.91116476,755.23425,730.01794,0.9527076,559.36,705.84863,0.96015096
76,1530.4724,850.7131,0.9024237,1185.1622,806.97205,0.7544457,1094.7827,797.38165,0.8449902,757.141,729.705,0.9695912,559.8945,705.5165,0.90559715
77,1552.5486,847.30664,0.8762537,1189.8088,805.3615,0.8190927,1098.4363,797.5547,0.7865902,760.1878,729.1597,0.9471271,560.982,704.3698,0.8755467
78,1560.4419,838.7457,0.8059436,1190.899,807.42474,0.81114227,1099.3395,799.36426,0.88124055,761.04364,730.9506,0.954026,561.5331,706.22406,0.8855031
