scorer,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radius_styloid_process,radius_styloid_process,radius_styloid_process,forearm,forearm,forearm
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
107,-0.16029397,0.017049886,40.866932,4.1769013,-1.7448608,27.160376,5.107162,-1.469494,24.429996,7.4812217,-1.5694885,17.13274,8.548187,-1.4168249,13.877601
108,0.41758534,0.18793523,39.23115,4.198625,-1.7516408,27.099812,5.1284027,-1.4682541,24.378468,7.4984097,-1.5670496,17.10381,8.559232,-1.4173473,13.85607
109,0.6575704,0.2447265,38.65321,4.246144,-1.7495441,26.96682,5.1674,-1.4594525,24.261957,7.516211,-1.5574416,17.025019,8.578823,-1.4121404,13.795019
110,0.52145386,0.17733781,38.92445,4.301795,-1.7490991,26.824455,5.2206774,-1.4548111,24.12655,7.536269,-1.5524131,16.966188,8.58428,-1.401359,13.76039
111,0.19673818,0.022246005,39.854053,4.30834,-1.7574639,26.784836,5.2264385,-1.4579151,24.106705,7.538837,-1.5521089,16.954391,8.583414,-1.4004924,13.751772
112,-0.4089779,-0.2375929,41.447582,4.3014183,-1.7490215,26.788044,5.2219257,-1.4516969,24.109404,7.535589,-1.5500869,16.957975,8.579569,-1.397752,13.754376
113,-1.1443298,-0.75880605,43.260532,4.282998,-1.758061,26.888266,5.2027054,-1.4527503,24.172386,7.524877,-1.5557923,16.99061,8.580695,-1.40605,13.771176
114,-1.841184,-1.4439034,44.779724,4.226794,-1.7554932,27.040316,5.146284,-1.4666365,24.319304,7.507156,-1.562259,17.05987,8.573544,-1.409962,13.814506
115,-2.1420863,-2.3078413,45.102425,4.2175355,-1.7560806,27.070143,5.136095,-1.4663872,24.341959,7.4988604,-1.5664939,17.067963,8.559732,-1.4074951,13.812968
116,-1.8953373,-3.0539224,43.900566,4.2399936,-1.7516052,27.040897,5.1271963,-1.4780238,24.359264,7.486516,-1.5748235,17.067726,8.540759,-1.4167929,13.810988
