scorer,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,forearm,forearm,forearm
coords,x,y,z,x,y,z,x,y,z,x,y,z
110,-10.833646,-1.7029053,17.694016,,,,-9.038989,-1.5972217,19.82859,-7.7632318,-1.4444674,22.043777
111,-10.660037,-1.7272487,17.58487,-9.703293,-1.7157427,18.643713,-8.927431,-1.5814646,19.775091,,,
112,-10.61652,-1.7183809,17.49404,-9.667126,-1.7077428,18.556313,-8.909135,-1.5672947,19.726788,,,
113,-10.560969,-1.7070578,17.378029,-9.619386,-1.6971805,18.440891,-8.865856,-1.5577738,19.606377,,,
114,-10.635309,-1.6891234,17.280983,,,,-8.933087,-1.4984384,19.511002,,,
115,-10.826253,-1.741621,17.062698,,,,-9.106561,-1.5041431,19.302338,,,
116,-11.017739,-1.8207873,16.809013,,,,-9.251401,-1.5355773,19.00273,,,
117,-11.230747,-1.9242327,16.52454,,,,-9.427974,-1.584118,18.706526,,,
118,-11.420232,-1.9795496,16.280664,,,,-9.587848,-1.59628,18.412401,,,
119,-11.5736475,-2.0139682,15.988122,,,,-9.72701,-1.5962929,18.119267,,,
120,-11.772389,-2.0247433,15.711818,,,,,,,,,
121,-12.01059,-2.017604,15.443775,,,,,,,,,
122,-12.144848,-2.0240161,15.155916,,,,-10.1937475,-1.4980643,17.197607,,,
123,-12.214308,-2.0434206,14.916079,,,,-10.242126,-1.4916307,16.932882,,,
124,-12.150639,-2.0378666,14.762359,,,,-10.261599,-1.4838765,16.773403,,,
125,-12.088346,-2.0249827,14.668642,,,,-10.250947,-1.4811696,16.697735,,,
126,-12.001627,-2.0135849,14.586567,,,,-10.236057,-1.4822054,16.663176,,,
127,-11.840853,-2.0102313,14.497752,,,,-10.22872,-1.4964801,16.639217,,,
128,-11.6733265,-2.0305543,14.408668,,,,-10.219728,-1.5204427,16.59855,,,
129,,,,,,,-10.210835,-1.5405712,16.526081,,,
130,,,,,,,-10.206812,-1.5557797,16.418419,,,
131,,,,,,,-10.184974,-1.5707457,16.275888,,,
132,-11.10465,-2.0636714,13.9910965,,,,,,,,,
133,,,,,,,-10.195813,-1.5846823,16.064411,,,
134,,,,,,,-10.20474,-1.5860156,16.012379,,,
135,,,,,,,-10.196798,-1.5829477,15.992827,,,
136,,,,,,,-10.196798,-1.5829477,15.992827,,,
137,,,,,,,,,,,,
138,,,,,,,-10.164532,-1.558571,16.058338,,,
139,,,,,,,-10.132391,-1.5479248,16.142826,,,
140,,,,,,,-10.100025,-1.5309339,16.248089,,,
141,,,,,,,-10.057539,-1.5138513,16.37097,,,
142,,,,,,,,,,,,
143,,,,,,,-9.948077,-1.482155,16.70617,,,
144,,,,,,,-9.863673,-1.4772912,16.917362,,,
145,-10.7173395,-1.7844039,14.927096,,,,-9.76944,-1.4810514,17.156902,,,
146,,,,,,,,,,,,
147,-10.779039,-1.7539532,15.385313,,,,-9.590718,-1.479246,17.645658,,,
148,-10.823056,-1.7220054,15.6053,,,,-9.494497,-1.4764965,17.87471,,,
149,-10.878162,-1.7043934,15.829628,,,,-9.420629,-1.4668901,18.08504,,,
150,-10.921776,-1.6769533,16.055033,,,,-9.340367,-1.4709477,18.25252,,,
151,-10.962316,-1.6446271,16.270807,,,,-9.263302,-1.4726378,18.41723,,,
152,-10.993128,-1.6195529,16.455494,,,,-9.198013,-1.4747624,18.581532,,,
153,-11.037249,-1.5981773,16.664778,-10.039402,-1.6305131,17.65792,-9.147204,-1.4776756,18.764715,,,
154,-11.07763,-1.5937784,16.877054,,,,-9.10677,-1.514838,18.904415,,,
155,-11.117002,-1.6023577,17.06377,,,,-9.081255,-1.561928,19.043985,,,
156,-11.164221,-1.6374403,17.222023,,,,-9.077394,-1.6029602,19.190334,,,
157,-11.223289,-1.6713253,17.390053,,,,-9.067563,-1.6551199,19.30422,-7.5909395,-1.6552498,21.432943
158,-11.283195,-1.7072074,17.557648,,,,-9.063698,-1.7122159,19.398178,-7.599378,-1.7500526,21.524319
159,-11.320461,-1.7541444,17.690561,-9.91798,-1.767828,18.37548,-9.048797,-1.7716825,19.463556,-7.612191,-1.832129,21.609667
160,,,,-9.909407,-1.8002598,18.433012,-9.052837,-1.8109767,19.539774,-7.616287,-1.9004611,21.672794
161,,,,-9.90369,-1.8330196,18.488802,-9.045965,-1.8571023,19.579252,-7.6233315,-1.9580327,21.745054
162,,,,-9.898557,-1.8631129,18.505701,-9.038226,-1.8949617,19.602545,-7.615285,-2.0093672,21.756956
163,,,,-9.890373,-1.8808854,18.495625,-9.033385,-1.9136057,19.596025,-7.607644,-2.0388956,21.739815
164,,,,-9.885328,-1.887205,18.502768,-9.023349,-1.9235979,19.59598,-7.5885816,-2.0789917,21.712084
165,,,,-9.827618,-1.91077,18.499113,-8.977307,-1.9475688,19.612268,-7.538932,-2.1261857,21.718332
166,,,,-9.720841,-1.9345801,18.559687,-8.878033,-1.9996214,19.670662,-7.4576845,-2.2118263,21.805735
167,,,,-9.524431,-1.9360752,18.709412,-8.687472,-2.0514734,19.813972,,,
168,,,,-9.265847,-1.9607909,18.88595,-8.445407,-2.1180184,19.999063,,,
169,,,,-9.025785,-1.9883082,19.10553,-8.209436,-2.1813967,20.229345,,,
170,,,,-8.856801,-1.9842448,19.42019,-8.036374,-2.2334578,20.527758,-6.6552606,-2.7583997,22.65388
171,,,,-8.727894,-1.9890641,19.769957,-7.8969784,-2.2856812,20.85973,-6.5187025,-2.8939104,22.981964
172,,,,-8.621893,-2.0100229,20.172121,-7.7796493,-2.3850918,21.184797,-6.411336,-3.0455477,23.356537
173,-10.148452,-1.8287927,20.260319,-8.538633,-2.0675619,20.586876,-7.680707,-2.5088196,21.536573,-6.335318,-3.2303317,23.726397
174,-9.976059,-1.9785397,21.307426,-8.374472,-2.3447082,21.58538,-7.592409,-2.832089,22.67189,-6.295696,-3.8410847,24.723682
175,-9.865064,-2.0457432,21.56657,-8.2885,-2.4520261,21.869795,-7.5192623,-2.9841192,22.940397,-6.2655163,-4.070743,24.966095
176,-9.762355,-2.1025379,21.712376,-8.241842,-2.529206,22.097855,-7.476273,-3.1077309,23.13304,-6.247675,-4.2519336,25.12527
177,-9.660342,-2.142747,21.770546,-8.207983,-2.599532,22.241188,-7.4439797,-3.2084863,23.253521,-6.2352867,-4.3911586,25.253616
178,-9.534456,-2.1400323,21.749027,-8.166103,-2.6768482,22.335808,-7.4138937,-3.2933888,23.356436,-6.2220416,-4.510433,25.339931
